Name,Genus Authority Author,Genus Authority Date,Strata
,"Aratasaurus: J. Manso Sayão, A.Á. Feitosa Saraiva, A. Souza Brum, R.A. Machado Bantim, R.C. Lima Pedroso de Andrade, Cheng X, F. Jorge de Lima, Helder de Paula Silva & A.W.A. Kellner, 2020",,
,"Araucanoraptor: F.E. Novas, 1997 [nomen dubium → Neuquenraptor]",,
,"Archaeoceratops: Dong Z-M & Y. Azuma, 1997",,
,"Archaeodontosaurus: E. Buffetaut, 2005",,
,"Archaeoraptor: Czerkas vide C.P. Sloan, 1999 vide Olson, 2000 [nomen nudum; JOS → Microraptor]",,
,"Archaeornithoides: Elzanowski & Wellnhofer, 1992",,
,"Archaeornithomimus: D.A. Russell, 1972",,
,"Arcovenator: T. Tortosa, E. Buffetaut, N. Vialle, Y. Dutour, E. Turini & G. Cheylan, 2013",,
,"Arcusaurus: A.M. Yates, M.F. Bonnan & J. Neveling, 2011",,
,"Arenysaurus: X. Pereda-Suberbiola, J.I. Canudo, P. Cruzado-Caballero, J.L. Barco, N. López-Martínez, O. Oms & J.I. Ruíz-Omeñaca, 2009",,
,"Argentinosaurus: J.F. Bonaparte & R.A. Coria, 1993",,
,"Argyrosaurus: R. Lydekker, 1893",,
,"Aristosaurus: van Hoepen, 1920 [JSS → Massospondylus]",,
,"Aristosuchus: H.G. Seeley, 1887 [nomen dubium]",,
,"Arkansaurus: R.K. Hunt & J.H. Quinn, 2018 [previously nomen nudum as ""Arkanosaurus"", H.R. Sattler, 1983]",,
,"Arkharavia: V.R. Alifanov & Y.L. Bolotsky, 2010",,
,"Arrhinoceratops: Parks, 1925",,
,"Arrudatitan: J.C.G. Silva Jr, A.G. Martinelli, F.V. Iori, T.S. Marinho, E.M. Hechenleitner & M.C. Langer, 2021 (for Aeolosaurus maximus: Santucci & Arruda-Campos, 2011)",,
,"Arstanosaurus: Suslov vide Suslov & Shilin, 1982 [nomen dubium]",,
,"Asfaltovenator: O.W.M Rauhut & D. Pol, 2019",,
,"Asiaceratops: Nessov & Kaznyshkina vide Nessov, Kaznyshkina & Cherepanov, 1989",,
,"Asiamericana: Nessov, 1995 [nomen dubium]",,
,"Asiatosaurus: H.F. Osborn, 1924 [nomen dubium]",,
,"Asilisaurus: S.J. Nesbitt, C.A. Sidor, R.B. Irmis, K.D. Angielczyk, R.M.H. Smith, & Tsuji L-A, 2010",,
,"Astrodon: Johnston, 1859 [nomen dubium; PSS → Pleurocoelus]",,
,"Astrodonius: Kuhn, 1961 [JOS → Astrodon]",,
,"Astrodontaurus: C. Johnston, 1858 vide Kranz, 2004 [JOS → Astrodon]",,
,"Astrophocaudia: M.D. D'Emic, 2012",,
,"Asylosaurus: P.M. Galton, 2007",,
,"Atacamatitan: A.W.A. Kellner, D. Rubilar-Rogers, Vargas & Suárez, 2011",,
,"Atlantosaurus: O.C. Marsh, 1877 [nomen dubium; PSS → Apatosaurus or Camarasaurus]",,
,"Atlasaurus: Monbaron, D.A. Russell & P. Taquet, 1999",,
,"Atlascopcosaurus: T. Rich & Vickers-Rich (as P. Rich), 1989",,
,"Atrociraptor: P.J. Currie & D.J. Varricchio, 2004",,
,"Atsinganosaurus: G. Garcia, S. Amico, F. Fournier, E. Thouand & X. Valentin, 2010",,
,"Aublysodon: J. Leidy, 1868 [nomen dubium; PSS → Albertosaurus or Deinodon]",,
,"Aucasaurus: R.A. Coria, L.M. Chiappe & L. Dingus, 2002",,
,"Augustia (name also refers to a beetle): J.F. Bonaparte, 1998 / Zariquiey, 1927 → Agustinia",,
,"Augustynolophus: A. Prieto-Márquez, J.R. Wagner, P.R. Bell & L.M. Chiappe, 2014",,
,"Auroraceratops: You H-L, Li D-Q, Ji Q, M.C. Lamanna & P. Dodson, 2005",,
,"Aurornis: P. Godefroit, A. Cau, Hu D-Y, F. Escuillié, Wu W-H & G. Dyke, 2013 [possible bird; PSS → Anchiornis]",,
,"Australodocus: Remes, 2007",,
,"Australotitan: S.A. Hocknull, M. Wilkinson, R.A. Lawrence, V. Konstantinov, S. Mackenzie & R. Mackenzie, 2021",,
,"Australovenator: S.A. Hocknull, M.A. White, T.R. Tischler, A.G. Cook, N.D. Calleja, T. Sloan & D.A. Elliott, 2009",,
,"Austrocheirus: M.D. Ezcurra, F.L. Agnolín & F.E. Novas, 2010",,
,"Austroposeidon: K.L.N. Bandeira, F. Medeiros Simbras, E. Batista Machado, D.A. Campos, G.R. Oliveira & A.W.A. Kellner, 2016",,
,"Austroraptor: F.E. Novas, D. Pol, Canale, J.D. Porfiri & J.O. Calvo, 2008",,
,"Austrosaurus: Longman, 1933",,
,"Avaceratops: P. Dodson, 1986",,
,"Aviatyrannis: O.W.M. Rauhut, 2003",,
,"Avimimus: S.M. Kurzanov, 1981",,
,"Avipes: F. von Huene, 1932 [nomen dubium]",,
,,,
,"Baalsaurus: J.O. Calvo & B.J. González-Riga, 2018",,
,"Bactrosaurus: Gilmore, 1933",,
,"Bagaceratops: T. Maryanska & H. Osmólska, 1975",,
,"Bagaraatan: H. Osmólska, 1996",,
,"Bagualia: D. Pol, J. Ramezani, K. Gomez, J.L. Carballido, A.P. Carabajal, O.W.M. Rauhut, I.H. Escapa & N.R. Cúneo, 2020",,
,"Bagualosaurus: F.A. Pretto, M.C. Langer & C.L. Schultz, 2018",,
,"Bahariasaurus: E. Stromer, 1934",,
,"Bainoceratops: Tereschenko & V.R. Alifanov, 2003",,
,"Bajadasaurus: P.A. Gallina, S. Apesteguía, J.I. Canale & A. Haluza, 2019",,
,"Bakesaurus: Zhou S, 2005 [nomen nudum]",,
,"Balaur: Z. Csiki, M. Vremir, S.L. Brusatte & M.A. Norell, 2010",,
,"Balochisaurus: M.S. Malkani, 2006",,
,"Bambiraptor: D.A. Burnham, K.L. Derstler, P.J. Currie, R.T. Bakker, Zhou Z. & J.H. Ostrom, 2000",,
,"Banji: Xu X. & Han F, 2010",,
,"Bannykus: Xu X, J.N. Choiniere, Tan Q, R.B.J. Benson, J.M. Clark, C. Sullivan, Zhao Q, Han F, Ma Q, He Y, Wang S, Xing H. & Tan L, 2018",,
,"Baotianmansaurus: Zhang X-L, Lü J-C, Xu L, Li J-H, Yang L-K, Hu W, Jia S, Ji Q. & Zhang C, 2009",,
,"Barackosaurus: [Anonymous], 2010 [nomen nudum; in The Dana Quarry Report]",,
,"Barapasaurus: Jain, T.S. Kutty, Roy-Chowdhury & S. Chatterjee, 1975",,
,"Barilium: D.B. Norman, 2010",,
,"Barosaurus: O.C. Marsh, 1890",,
,"Barrosasaurus: L. Salgado & R.A. Coria, 2009",,
,"Barsboldia: T. Maryanska & H. Osmólska, 1981",,
,"Baryonyx: A.J. Charig & A.C. Milner, 1986",,
,"Bashanosaurus: Dai H, Li N, S.C.R. Maidment, Wei G-B, Zhou Y-X, Hu X-F, Ma Q-Y, Wang X-Q, Hu H-Q. & Peng G-Z, 2022",,
,"Bashunosaurus: Li K, 1998 [nomen nudum; possibly → Datousaurus]",,
,"Batyrosaurus: P. Godefroit, F. Escuillié, Y.L. Bolotsky & P. Lauters, 2012",,
,"Baurutitan: A.W.A. Kellner, D.A. Campos & Trotta, 2005",,
,"Bayannurosaurus: Xu X, Tan Q, Gao Y, Bao Z, Yin Z, Guo B, Wang J, Tan L, Zhang Y. & Xing H, 2018",,
,"Bayosaurus: R.A. Coria, P.J. Currie & Carabajal, 2006 [nomen nudum]",,
,"Becklespinax: G. Olshevsky, 1991 [PSS → Altispinax]",,
,"""Beelemodon"": R.T. Bakker, 1997 [nomen nudum]",,
,"Beg: Yu C-Y, A. Prieto-Marquez [Prieto-Márquez], Chinzorig T, Badamkhatan Z. & M.A. Norell, 2020",,
,"Beibeilong: Pu H-Y, D.K. Zelenitsky, Lü J-C, P.J. Currie, K. Carpenter, Xu L, E.B. Koppelhus, Jia S-H, Xiao L, Chuang H, Li T-R, M. Kundrát & Shen C, 2017",,
,"Beipiaognathus: Hu Y, Wang X-R & Huang J-D, 2016",,
,"Beipiaosaurus: Xu X, Tang Z. & Wang X-L, 1999",,
,"Beishanlong: P.J. Makovicky, Li D-Q, Gao K-Q, M. Lewin, G.M. Erickson & M.A. Norell, 2009",,
,"Bellusaurus: Dong Z-M, 1990",,
,"Berberosaurus: R. Allain, R.S. Tykoski, Aquesbi, Jalil, Monbaron, D.A. Russell & P. Taquet, 2007",,
,"Berthasaura: G. Alves de Souza, M.B. Soares, L.C. Weinschütz, E. Wilner, R.T. Lopes, O.M. Oliveira de Araüjo & A.W.A. Kellner, 2021",,
,"Betasuchus: F. von Huene, 1932 [nomen dubium]",,
,"Bicentenaria: F.E. Novas, M.D. Ezcurra, F.L. Agnolín, D. Pol & R. Ortíz, 2012",,
,"Biconcavoposeidon: M.P. Taylor & M.J. Wedel, 2017 [nomen manuscriptum; published in symposium poster]",,
,"Bienosaurus: Dong Z-M, 2001 [nomen dubium]",,
,"Bihariosaurus: Marinescu, 1989",,
,"Bilbeyhallorum: Burge, J. Bird, McClelland & Cicconetti, 1999 [nomen nudum → Cedarpelta]",,
,"Bissektipelta: Parish & P.M. Barrett, 2004",,
,"Bistahieversor: T.D. Carr & T.E. Williamson, 2010",,
,"Bisticeratops: S.G. Dalman, S.E. Jasinski & S.G. Lucas, 2022",,
,"""Blancocerosaurus"": G. Maier, 2003 [nomen nudum → Giraffatitan]",,
,"Blasisaurus: P. Cruzado-Caballero, X. Pereda-Suberbiola & J.I. Ruíz-Omeñaca, 2010",,
,"Blikanasaurus: P.M. Galton & van Heerden, 1985",,
,"Bolong: Wu W-H, P. Godefroit & Hu D, 2010",,
,"Bonapartenykus: F.L. Agnolín, J.E. Powell, F.E. Novas & M. Kundrát, 2011",,
,"Bonapartesaurus: P. Cruzado-Caballero & J. Powell, 2017",,
,"Bonatitan: A.G. Martinelli & A.M. Forasiepi, 2004",,
,"Bonitasaura: S. Apesteguía, 2004",,
,"Borealopelta: C.M. Brown, D.M. Henderson, J. Vinther, I. Fletcher, A. Sistiaga, J. Herrera, R.E. Summons, 2017",,
,"Borealosaurus: You H-L, Ji Q, M.C. Lamanna, Li J-L. & Li Y-X, 2004",,
,"Boreonykus: P.R. Bell & P.J. Currie, 2015",,
,"Borogovia: H. Osmólska, 1987",,
,"Bothriospondylus: R. Owen, 1875",,
,"Brachiosaurus: Riggs, 1903",,
,"Brachyceratops: Gilmore, 1914",,
,"Brachylophosaurus: C.M. Sternberg, 1953",,
,"Brachypodosaurus: Chakravarti, 1934 [nomen dubium]",,
,"Brachyrophus: E.D. Cope, 1878 [JSS → Camptosaurus]",,
,"Brachytrachelopan: O.W.M. Rauhut, K. Remes, R. Fechner, G. Cladera & P. Puerta, 2005",,
,"Bradycneme: C.J.O. Harrison & C.A. Walker, 1975 [nomen dubium; PSS → Elopteryx]",,
,"Brasilotitan: E.B. Machado, L.S. Avilla, W.R. Nava, D.A. Campos & A.W.A. Kellner, 2013",,
,"Bravasaurus: E.M. Hechenleitner, L. Leuzinger, A.G. Martinelli, S. Rocher, L.E. Fiorelli, J.R.A. Taborda & L. Salgado, 2020",,
,"Bravoceratops: S.L. Wick & T.M. Lehman, 2013",,
,"Breviceratops: S.M. Kurzanov, 1990",,
,"Brighstoneus: J.A.F. Lockwood, D.M. Martill & S.C.R. Maidment, 2021",,
,"Brohisaurus: M.S. Malkani, 2003",,
,"Brontodiplodocus: [Anonymous], 2010 [nomen nudum; in The Dana Quarry Report]",,
,"Brontomerus: M.P. Taylor, M.J. Wedel & R.L. Cifelli, 2011",,
,"Brontoraptor: Redman, 1995 [nomen nudum]",,
,"Brontosaurus: O.C. Marsh, 1879 [PSS → Apatosaurus]",,
,"Bruhathkayosaurus: P. Yadagiri & K. Ayyasami, 1987 [nomen dubium]",,
,"Bugenasaura: P.M. Galton, 1995 [PSS → Thescelosaurus]",,
,"Buitreraptor: P.J. Makovicky, S. Apesteguía & F.L. Agnolín, 2005",,
,"Burianosaurus: D. Madzia, C.A. Boyd & M. Mazuch, 2017",,
,"Buriolestes: S.F. Cabreira, A.W.A. Kellner, S. Dias-da-Silva, L.R. da Silva, M. Bronzati, J.C. de Almeida Marsola, R. Temp Müller, J. de Souza Bittencourt, B.J.A. Batista, T. Raugust, R. Carrilho, A. Brodt & M.C. Langer, 2016",,
,"Byranjaffia: Novacek, 2002 [nomen nudum → Byronosaurus]",,
,"Byronosaurus: M.A. Norell, P.J. Makovicky & J.M. Clark, 2000",,
,,,
,"Caenagnathasia: P.J. Currie, Godfrey & Nessov, 1994 (not 1993)",,
,"Caenagnathus: R.M. Sternberg, 1940",,
